Wall time,Step,Value
1672463738,18,3
1672463746,47,0
1672463750,62,0
1672463757,89,1
1672463760,103,2
1672463761,107,2
1672463766,128,0
1672463777,172,0
1672463795,244,2
1672463798,259,2
1672463804,282,4
1672463830,386,0
1672463835,402,2
1672463841,415,1
1672463854,437,10
1672463868,465,1
1672463877,481,0
1672463891,510,0
1672463903,533,2
1672463905,538,0
1672463915,556,3
1672463936,596,0
1672463959,637,0
1672463963,643,0
1672463971,658,0
1672463982,675,2
1672464049,764,4
1672464076,804,1
1672464117,866,7
1672464131,886,2
1672464236,1015,4
1672464246,1026,4
1672464257,1037,7
1672464284,1071,8
1672464312,1111,3
1672464325,1125,4
1672464331,1132,4
1672464348,1152,6
1672464356,1164,4
1672464367,1176,5
1672464373,1184,4
1672464399,1218,3
1672464427,1252,3
1672464430,1254,6
1672464443,1267,2
1672464447,1271,7
1672464553,1376,3
1672464588,1417,7
1672464624,1457,5
1672464625,1458,2
1672464650,1494,1
1672464665,1510,2
1672464667,1513,6
1672464695,1548,4
1672464698,1551,6
1672464711,1565,3
1672464781,1627,7
1672464789,1635,4
1672464831,1670,13
1672464867,1702,5
1672464879,1711,8
1672465027,1847,8
1672465084,1899,6
1672465094,1909,7
1672465131,1940,11
1672465154,1960,4
1672465156,1961,20
1672465274,2070,6
1672465285,2079,1
1672465440,2209,5
1672465577,2319,8
1672465626,2359,6
1672465723,2436,9
1672465728,2441,7
1672465744,2454,7
1672465752,2462,5
1672465754,2465,5
1672465798,2503,6
1672465899,2577,10
1672465901,2578,12
1672465934,2599,20
1672465973,2627,10
1672465985,2635,15
1672465997,2643,13
1672466049,2684,5
1672466057,2693,3
1672466074,2708,7
1672466086,2717,11
1672466136,2753,6
1672466137,2754,8
1672466156,2768,7
1672466177,2785,5
1672466215,2812,12
1672466256,2844,8
1672466278,2861,6
1672466421,2973,14
1672466581,3083,11
1672466582,3084,4
1672466613,3104,9
1672466614,3105,7
1672466633,3120,3
1672466669,3145,14
1672466742,3199,9
1672466768,3217,11
1672466795,3241,4
1672466827,3265,20
1672466831,3268,10
1672466944,3356,8
1672467019,3404,9
1672467100,3461,9
1672467132,3483,12
1672467144,3491,10
1672467155,3500,12
1672467187,3526,1
1672467242,3566,11
1672467296,3600,5
1672467316,3616,13
1672467375,3654,11
1672467380,3657,18
1672467384,3661,8
1672467395,3668,16
1672467400,3671,12
1672467431,3690,8
1672467464,3712,16
1672467574,3782,10
1672467671,3848,8
1672467749,3902,7
1672467768,3915,7
1672467796,3933,11
1672467862,3975,7
1672467914,4012,10
1672467930,4023,9
1672468018,4084,14
1672468056,4109,8
1672468072,4121,6
1672468076,4124,8
1672468108,4146,9
1672468162,4181,14
1672468178,4192,10
1672468231,4227,11
1672468281,4257,13
1672468379,4318,3
1672468394,4328,26
1672468588,4454,10
1672468718,4535,15
1672468725,4539,23
1672468764,4564,10
1672468835,4612,16
1672468891,4649,13
1672468944,4690,10
1672468957,4698,11
1672468972,4707,9
1672469014,4730,44
1672469094,4777,7
1672469175,4832,15
1672469179,4835,4
1672469180,4836,4
1672469190,4844,6
1672469247,4882,14
1672469291,4910,11
1672469354,4949,10
1672469406,4980,13
1672469560,5079,8
1672469574,5088,11
1672469577,5090,15
1672469643,5132,11
1672469649,5136,22
1672469673,5151,13
1672469679,5155,15
1672469730,5187,18
1672469748,5200,12
1672469786,5225,7
1672469804,5238,12
1672469827,5253,15
1672469842,5262,10
1672469889,5295,13
1672469925,5319,19
1672469930,5322,11
1672469995,5362,10
1672470006,5370,11
1672470049,5403,10
1672470110,5445,27
1672470125,5454,13
1672470202,5509,8
1672470440,5667,14
1672470537,5730,5
1672470584,5758,23
1672470621,5781,13
1672470701,5832,8
1672470752,5866,8
1672470768,5879,2
1672470882,5956,8
1672470916,5981,14
1672470942,5997,17
1672470959,6009,12
1672471026,6053,18
1672471116,6111,16
1672471165,6138,13
1672471169,6142,11
1672471291,6225,22
1672471315,6243,14
1672471369,6279,14
1672471449,6332,8
1672471452,6334,19
1672471486,6358,8
1672471487,6359,6
1672471494,6364,10
1672471501,6369,14
1672471753,6528,6
1672471792,6551,18
1672471812,6564,10
1672471819,6569,12
1672471843,6585,26
1672471851,6590,19
1672471859,6599,5
1672471883,6615,5
1672471980,6673,15
1672472065,6720,15
1672472083,6730,19
1672472121,6750,17
1672472206,6802,15
1672472272,6842,24
1672472286,6850,14
1672472393,6916,15
1672472396,6919,7
1672472411,6930,7
1672472509,6991,10
1672472517,6996,11
1672472520,6998,13
1672472612,7054,17
1672472701,7117,5
1672472707,7120,13
1672472717,7126,13
1672472770,7164,9
1672472823,7207,5
1672472879,7253,8
1672472903,7274,5
1672472949,7308,8
1672472995,7338,6
1672473019,7353,10
1672473042,7367,10
1672473155,7436,12
1672473202,7464,14
1672473210,7468,15
1672473214,7470,12
1672473235,7482,14
1672473271,7506,16
1672473291,7518,16
1672473316,7532,9
1672473334,7543,12
1672473430,7593,25
1672473449,7604,9
1672473505,7638,10
1672473514,7644,12
1672473541,7660,10
1672473646,7727,19
1672473651,7730,18
1672473699,7756,14
1672473763,7794,20
1672473764,7795,11
1672473806,7821,6
1672473837,7838,14
1672473865,7855,16
1672473938,7895,14
1672473948,7901,19
1672473996,7929,10
1672474091,7986,18
1672474188,8046,13
1672474244,8078,5
1672474327,8122,21
1672474367,8144,16
1672474496,8216,10
1672474518,8229,6
1672474596,8277,9
1672474621,8291,12
1672474629,8296,13
1672474762,8377,22
1672474795,8397,9
1672474953,8491,6
1672475038,8548,15
1672475048,8554,29
1672475063,8563,12
1672475154,8618,22
1672475204,8659,23
1672475210,8663,12
1672475261,8694,34
1672475309,8724,18
1672475351,8752,11
1672475393,8776,14
1672475396,8778,16
1672475470,8823,6
1672475490,8833,14
1672475550,8870,6
1672475563,8877,10
1672475633,8917,39
1672475640,8921,6
1672475755,8985,9
1672475792,9006,4
1672475835,9033,17
1672475880,9058,22
1672476002,9121,17
1672476063,9152,12
1672476173,9212,11
1672476240,9252,9
1672476314,9291,8
1672476339,9303,14
1672476356,9312,10
1672476384,9327,23
1672476416,9345,13
1672476439,9359,32
1672476463,9372,30
1672476473,9377,12
1672476492,9387,16
1672476606,9456,12
1672476761,9538,24
1672476778,9547,20
1672476815,9566,17
1672477001,9671,11
1672477003,9672,25
1672477072,9712,18
1672477151,9753,20
1672477153,9754,19
1672477183,9772,18
1672477257,9813,22
1672477281,9824,18
1672477309,9837,21
1672477335,9850,17
1672477367,9867,13
1672477421,9894,24
1672477467,9917,18
1672477526,9948,19
1672477527,9949,6
1672477530,9950,32
1672477549,9960,13
1672477573,9973,15
1672477584,9979,19
1672477612,9993,17
1672477738,10063,11
1672477790,10090,11
1672477852,10121,25
1672477886,10138,17
1672477988,10191,14
1672478018,10208,16
1672478031,10215,16
1672478136,10269,11
1672478157,10280,16
1672478273,10342,14
1672478279,10345,21
1672478281,10346,15
1672478370,10395,12
1672478463,10445,12
1672478474,10451,28
1672478475,10452,10
1672478487,10458,17
1672478567,10501,22
1672478601,10518,20
1672478678,10561,10
1672478743,10596,26
1672478811,10633,15
1672478829,10643,23
1672478833,10645,24
1672478951,10707,20
1672478967,10717,21
1672478981,10724,24
1672479069,10771,10
1672479187,10842,18
1672479502,11023,13
1672479513,11028,30
1672479527,11036,14
1672479562,11054,21
1672479639,11094,24
1672479682,11118,22
1672479694,11124,21
