Wall time,Step,Value
1672422396,73,1
1672422397,77,0
1672422398,82,2
1672422401,93,0
1672422406,114,2
1672422416,158,1
1672422426,196,1
1672422433,224,2
1672422433,227,1
1672422442,262,2
1672422444,270,2
1672422448,284,2
1672422458,316,2
1672422467,349,1
1672422519,464,4
1672422520,467,0
1672422541,505,4
1672422567,550,8
1672422584,573,1
1672422594,586,3
1672422614,616,3
1672422618,622,8
1672422622,630,4
1672422623,631,4
1672422641,663,2
1672422656,684,7
1672422664,696,4
1672422731,794,7
1672422743,811,3
1672422750,819,5
1672422757,828,3
1672422772,851,5
1672422817,913,8
1672422847,950,7
1672422861,971,3
1672422891,1009,3
1672422896,1016,3
1672422937,1070,4
1672422990,1141,5
1672423043,1210,4
1672423048,1216,3
1672423058,1226,9
1672423070,1239,8
1672423083,1255,7
1672423115,1295,7
1672423123,1305,6
1672423128,1311,4
1672423147,1334,3
1672423210,1408,3
1672423224,1421,3
1672423242,1448,2
1672423268,1480,3
1672423321,1548,5
1672423348,1584,3
1672423357,1596,3
1672423361,1601,11
1672423365,1605,6
1672423435,1691,7
1672423450,1710,3
1672423471,1737,11
1672423482,1750,7
1672423505,1778,4
1672423526,1805,3
1672423531,1812,5
1672423536,1818,8
1672423569,1861,7
1672423570,1863,5
1672423587,1885,4
1672423603,1905,4
1672423608,1910,5
1672423617,1922,4
1672423620,1926,3
1672423624,1932,3
1672423635,1946,6
1672423649,1964,3
1672423655,1972,3
1672423670,1993,3
1672423675,1999,3
1672423693,2024,7
1672423725,2069,3
1672423733,2080,4
1672423742,2092,4
1672423747,2099,7
1672423751,2105,3
1672423766,2126,3
1672423775,2139,3
1672423808,2183,4
1672423817,2196,3
1672423823,2205,4
1672423848,2241,3
1672423860,2257,3
1672423878,2282,3
1672423889,2298,3
1672423893,2304,4
1672423947,2382,3
1672423955,2394,3
1672423958,2398,3
1672423975,2424,8
1672423980,2430,3
1672424008,2469,4
1672424024,2494,3
1672424028,2500,3
1672424074,2564,3
1672424104,2604,1
1672424126,2635,4
1672424155,2673,3
1672424172,2698,3
1672424200,2737,4
1672424209,2750,3
1672424236,2789,3
1672424243,2799,4
1672424266,2830,3
1672424266,2831,3
1672424284,2854,7
1672424329,2915,4
1672424410,3025,5
1672424413,3028,3
1672424414,3029,4
1672424464,3096,4
1672424469,3103,4
1672424494,3134,7
1672424586,3245,3
1672424593,3255,4
1672424607,3271,5
1672424660,3334,9
1672424669,3346,5
1672424685,3364,6
1672424733,3418,8
1672424751,3436,6
1672424756,3441,4
1672424764,3450,3
1672424784,3472,4
1672424785,3474,4
1672424796,3486,8
1672424799,3490,5
1672424801,3492,4
1672424802,3493,10
1672424834,3529,6
1672424873,3568,10
1672424885,3580,8
1672424901,3596,12
1672424935,3631,5
1672424952,3649,9
1672424957,3655,3
1672424959,3657,13
1672425002,3700,7
1672425014,3712,5
1672425069,3760,16
1672425109,3798,11
1672425117,3805,8
1672425134,3822,11
